§	ID	Type	Rarity	Name	Description
	KillerAddon_K01TheTrapper_B_SerratedJaws	Killer Addon	Uncommon	Serrated Jaws	These replacement trap jaws have saw-like blades, causing awful open wounds when they snap.\n\n<indent=10%>- <#e2ce97>Survivors</color><sprite=5> injured by a Bear Trap suffer from the <#e2ce97>Haemorrhage</color><sprite=3> <b>Status Effect</b> until fully healed.</indent>\n\n<#e2ce97><i>"Like a predatory beast, it can smell and track blood."</i></color> 
	KillerAddon_K01TheTrapper_B_WaxBrick	Killer Addon	Uncommon	Wax Brick	A block of wax used to lower friction and facilitate movement in mechanical parts.\n\n<indent=10%>- <b>Increases</b> the Rescue and Escape times of the Bear Trap by <#e8c252>+33 %</color>.
	KillerAddon_K01TheTrapper_C_FasteningTools	Killer Addon	Rare	Fastening Tools	A specialised set of tools used to fasten <b>Bear Traps</b> to ensure their effectiveness.\n\n<indent=10%>- <b>Increases</b> the Rescue and Escape times from the Bear Trap by <#e8c252>+25 %</color>.</indent>\n<indent=10%>- <b>Increases</b> the Setting speed of the Bear Trap by <#ff8800>+50 %</color>.
	KillerAddon_K01TheTrapper_C_RustedJaws	Killer Addon	Rare	Rusted Jaws	These Bear Trap jaws are covered with crusty and volatile rust spots, making injuries particularly difficult to heal.\n\n\t-Survivors injured by a Bear Trap suffer from the Mangled Status Effect for 70 seconds.
	KillerAddon_K01TheTrapper_C_SecondaryCoil	Killer Addon	Rare	Secondary Coil	A secondary coil keeps the Bear Trap functional in times when the primary coil becomes unusable.\n\n<indent=10%>- <b>Increases</b> the Disarm time of the <b>Bear Trap</b> by <#e8c252>+50 %</color>.
	KillerAddon_K01TheTrapper_C_TarBottle	Killer Addon	Rare	Tar Bottle	A black, matte and sticky substance that when applied to Bear Traps, makes them far less noticeable.\n\n<indent=10%>- Darkens the <b>Bear Trap</b>.
	KillerAddon_K01TheTrapper_C_TrapperBag	Killer Addon	Rare	Trapper Bag	A cured leather waist bag.\nLarge and sturdy to transport hunting equipment.\n\n<indent=10%>- <b>Increases</b> the number of carried <b>Bear Traps</b> by <#e8c252>+1</color>.
	KillerAddon_K01TheTrapper_D_HoningStone	Killer Addon	Very Rare	Honing Stone	When used with the Bear Trap, the stone sharpens its blades.\nThe razor-sharp blades inflict deep wounds aimed at bleeding the victim as fast as possible.\n\n<indent=10%>- <#e2ce97>Survivors</color><sprite=5> caught in a <b>Bear Trap</b>, who free themselves, are inflicted with the <#e2ce97>Dying State</color><sprite=11>.
	KillerAddon_K01TheTrapper_D_OilyCoil	Killer Addon	Very Rare	Oily Coil	A clear oil that makes handling the Bear Trap's spring more hazardous.\n\n<indent=10%>- Resetting a <b>Bear Trap</b> reveals the <#e2ce97>Aura</color><sprite=13> of the last Survivor to have disarmed it for <#e8c252>5 seconds</color>.
	KillerAddon_K01TheTrapper_D_TensionSpring	Killer Addon	Very Rare	TensionSpring	A high tension spring that snaps back into place after being stretched.\n\n<indent=10%>- Automatically resets the <b>Bear Trap</b> <#e8c252>2 seconds</color> after a Survivor escaped from it.
	KillerAddon_K01TheTrapper_D_TrapperSack	Killer Addon	Very Rare	Trapper Sack	A crude leather sack suitable for foraging.\n\n<indent=10%>- Causes all <b>Bear Trap</b>s to be carried in your inventory at the beginning of the Trial.</indent>\n<indent=10%>- You can no longer pick up any placed <b>Bear Trap</b>s, only reset them.
	KillerAddon_K01TheTrapper_E_BloodyCoil	Killer Addon	Ultra Rare	Bloody Coil	Part sticky, part slippery, this grim liquid makes handling the <b>Bear Trap</b>s spring more dangerous.\n\n<indent=10%>- When a healthy Survivor disarms a <b>Bear Trap</b>, the <b>Bloody Coil</b> exacts its price, putting the Survivor into the <#e2ce97>Injured State</color><sprite=10>.
	KillerAddon_K01TheTrapper_E_IridescentStone	Killer Addon	Ultra Rare	Iridescent Stone	Bear Traps sharpened with the sickly gleaming stone seem to gain a life of their own.\n\n<indent=10%>- Automatically resets and arms a random disarmed <b>Bear Trap</b> every <#e8c252>30 seconds</color>.
	# K02 The Wraith				
	KillerAddon_K02TheWraith_A_TheBeast-Soot	Killer Addon	Common	"The Beast" - Soot	The Kunwulju symbol, representing the Realm of Fear, is finger-drawn out of soot on the body of the Bell.\n\n<indent=10%>- Your <#e2ce97>Terror Radius<sprite=7></color> is no longer suppressed when Cloaked.</indent>\n<indent=10%>- Grants <#e8c252>+100 %</color> bonus <#e2ce97>Bloodpoints<sprite=14></color> for Stalking and Surprise Attack Score Events.
	KillerAddon_K02TheWraith_A_TheGhost-Soot	Killer Addon	Common	"The Ghost" - Soot	The Khugwemuu symbol, representing the Spirit World, is finger-drawn out of soot on the body of the Bell.\n\n<indent=10%>- Your <#e2ce97>Terror Radius<sprite=7></color> and <b>Red Stain</b> are suppressed for another <#e8c252>6 seconds</color> after uncloaking.
	KillerAddon_K02TheWraith_A_TheHound-Soot	Killer Addon	Common	"The Hound" - Soot	The Wonnug symbol, representing a peerless tracker, is finger-drawn out of soot on the body of the Bell.\n\n<indent=10%>- When Cloaked, <#e2ce97>Pools of Blood<sprite=3></color> appear to you in <#d41c1c>bright red</color>.
	KillerAddon_K02TheWraith_A_TheSerpent-Soot	Killer Addon	Common	"The Serpent" - Soot	The Laokeye symbol, representing cunning, is finger-drawn out of soot on the body of the Bell.\n\n<indent=10%>- Breaking <#e2ce97>Breakable Walls<sprite=12></color> or <#e2ce97>Pallets<sprite=9></color> by any means, or performing the Damage Generator Action on incomplete <#e2ce97>Generators<sprite=6></color>, will cause you to automatically uncloak.
	KillerAddon_K02TheWraith_B_BlindWarrior-Mud	Killer Addon	Uncommon	"Blind Warrior" - Mud	The Baikra-Kaeug symbol, representing ferocity, is finger-drawn in mud on the body of the Bell.\n\n<indent=10%>- <#e2ce97>Survivors<sprite=5></color> hit with a Surprise Attack suffer from the <#e2ce97>Blindness<sprite=16></color> <b>Status Effect</b> for <#e8c252>60 seconds</color>.
	KillerAddon_K02TheWraith_B_Blink-Mud	Killer Addon	Uncommon	"Blink" - Mud	The Kratin symbol, representing quick passing, is finger-drawn in mud on the body of the Bell.\n\n<indent=10%>- <b>Reduces</b> the Cloaking time by <#e8c252>-40 %</color>.
	KillerAddon_K02TheWraith_B_SwiftHunt-Mud	Killer Addon	Uncommon	"Swift Hunt" - Mud	The Kuntin-Takkho symbol, representing a rapid descent on a prey, is finger-drawn in mud on the body of the Bell.\n\n<indent=10%>- <b>Reduces</b> the Uncloaking time by <#e8c252>-8 %</color>.
	KillerAddon_K02TheWraith_B_Windstorm-Mud	Killer Addon	Uncommon	"Windstorm" - Mud	The Ohuwe-Onmnea symbol, representing a howling storm, is finger-drawn in mud on the body of the Bell.\n\n<indent=10%>- <b>Increases</b> your Movement Speed by <#e8c252>+5 %</color> when Cloaked.
	KillerAddon_K02TheWraith_B_BoneClapper	Killer Addon	Uncommon	Bone Clapper	A Bell clapper made from a highly polished piece of bone.\nCauses the sounds of the Wailing Bell to echo and warp chaotically.\n\n<indent=10%>- <#e2ce97>Survivors<sprite=5></color> are unable to discern the distance and direction of the Wailing Bell.
	KillerAddon_K02TheWraith_C_BlindWarrior-White	Killer Addon	Rare	"Blind Warrior" - White	The Baikra-Kaeug symbol, representing ferocity, is stamped in white ink on the body of the Bell.\n\n<indent=10%>- <#e2ce97>Survivors<sprite=5></color> hit with a Surprise Attack suffer from the <#e2ce97>Haemorrhage<sprite=3></color> and <#e2ce97>Mangled<sprite=0></color> <b>Status Effect</b>s for <#e8c252>70 seconds</color>.
	KillerAddon_K02TheWraith_C_Blink-White	Killer Addon	Rare	"Blink" - White	The Kratin symbol, representing quick passing, is stamped in white ink on the body of the Bell.\n\n<indent=10%>- <b>Reduces</b> the Cloaking time by <#e8c252>-60 %</color>.
	KillerAddon_K02TheWraith_C_ShadowDance-White	Killer Addon	Rare	"Shadow Dance" - White	The Yiwarick symbol, representing dark synergy, is stamped in white ink on the body of the Bell.\n\n<indent=10%>- <b>Increases</b> the Action speeds for breaking <#e2ce97>Breakable Walls<sprite=12></color> and <#e2ce97>Pallets<sprite=9></color>, damaging <#e2ce97>Generators<sprite=6></color>, and vaulting <#e2ce97>Windows<sprite=17></color> by <#e8c252>+40 %</color> while Cloaked.
	KillerAddon_K02TheWraith_C_SwiftHunt-White	Killer Addon	Rare	"Swift Hunt" - White	The Kuntin-Takkho symbol, representing a rapid descent on a prey, is stamped in white ink on the body of the Bell.\n\n<indent=10%>- <b>Reduces</b> the Uncloaking time by <#e8c252>-10 %</color>.
	KillerAddon_K02TheWraith_C_Windstorm-White	Killer Addon	Rare	"Windstorm" - White	The Ohuwe-Onmnea symbol, representing a howling storm, is stamped in white ink on the body of the Bell.\n\n<indent=10%>- <b>Increases</b> your Movement Speed by <#e8c252>+7 %</color> when Cloaked.
	KillerAddon_K02TheWraith_D_AllSeeing-Blood	Killer Addon	Very Rare	"All Seeing" - Blood	The Kra-Frabai symbol, representing the Entity watching over us, is stamped in blood on the head of the Bell.\n\nUnlocks hidden potential in your Aura-reading ability:\n\n<indent=10%>- The <#e2ce97>Auras<sprite=13></color> of <#e2ce97>Survivors<sprite=5></color> are revealed to you within <#e8c252>8 metres</color> of your location when Cloaked.
	KillerAddon_K02TheWraith_D_ShadowDance-Blood	Killer Addon	Very Rare	"Shadow Dance" - Blood	The Yiwarick symbol, representing dark synergy, is stamped in blood on the body of the Bell.\n\n<indent=10%>- <b>Increases</b> the Action speeds for breaking <#e2ce97>Breakable Walls<sprite=12></color> and <#e2ce97>Pallets<sprite=9></color>, damaging <#e2ce97>Generators<sprite=6></color>, and vaulting <#e2ce97>Windows<sprite=17></color> by <#e8c252>+60 %</color> when Cloaked.
	KillerAddon_K02TheWraith_D_SwiftHunt-Blood	Killer Addon	Very Rare	"Swift Hunt" - Blood	The Kuntin-Takkho symbol, representing a rapid descent on a prey, is stamped in blood on the body of the Bell.\n\n<indent=10%>- <b>Reduces</b> the Uncloaking time by <#e8c252>-12 %</color>.
	KillerAddon_K02TheWraith_D_Windstorm-Blood	Killer Addon	Very Rare	"Windstorm" - Blood	The Ohuwe-Onmnea symbol, representing a howling storm, is stamped in blood on the body of the Bell.\n\n<indent=10%>- <b>Increases</b> your Movement Speed by <#e8c252>+9 %</color> when Cloaked.
	KillerAddon_K02TheWraith_E_AllSeeing-Spirit	Killer Addon	Ultra Rare	"All Seeing" - Spirit	The Kra-Frabai symbol, representing the Entity watching over us, ominously glows on the head of the Bell.\n\nUnlocks hidden potential in your Aura-reading ability:\n\n<indent=10%>- Reveals the Repair progression of <#e2ce97>Generators<sprite=6></color> via the intensity of their <#e2ce97>Aura<sprite=13></color> when Cloaked.
	KillerAddon_K02TheWraith_E_CoxcombedClapper	Killer Addon	Ultra Rare	Coxcombed Clapper	A simple coxcomb knotted rope wrapped around the bell clapper to muffle its sound.\nA malevolent Aura emanates from it.\n\n<indent=10%>- <b>Silences</b> the Wailing Bell.
	# K03 The Hillbilly				
	KillerAddon_K03TheHillbilly_A_Counterweight	Killer Addon	Common	Counterweight	
	KillerAddon_K03TheHillbilly_A_CrackedPrimerBulb	Killer Addon	Common	Cracked Primer Bulb	
	KillerAddon_K03TheHillbilly_A_DiscardedAirFilter	Killer Addon	Common	Discarded Air Filter	
	KillerAddon_K03TheHillbilly_A_SteelToeBoots	Killer Addon	Common	Steel Toe Boots	
	KillerAddon_K03TheHillbilly_B_CloggedIntake	Killer Addon	Uncommon	Clogged Intake	
	KillerAddon_K03TheHillbilly_B_GreasedThrottle	Killer Addon	Uncommon	Greased Throttle	
	KillerAddon_K03TheHillbilly_B_HighSpeedIdlerScrew	Killer Addon	Uncommon	High-Speed Idler Screw	
	KillerAddon_K03TheHillbilly_B_Off-BrandMotorOil	Killer Addon	Uncommon	Off-Brand Motor Oil	
	KillerAddon_K03TheHillbilly_B_ThermalCasing	Killer Addon	Uncommon	Thermal Casing	
	KillerAddon_K03TheHillbilly_C_BegrimedChains	Killer Addon	Rare	Begrimed Chains	
	KillerAddon_K03TheHillbilly_C_DadsBoots	Killer Addon	Rare	Dad's Boots	
	KillerAddon_K03TheHillbilly_C_LowKickbackChains	Killer Addon	Rare	Low Kickback Chains	
	KillerAddon_K03TheHillbilly_C_RaggedEngine	Killer Addon	Rare	Ragged Engine	
	KillerAddon_K03TheHillbilly_C_TheThompsonsMix	Killer Addon	Rare	The Thompsons' Mix	
	KillerAddon_K03TheHillbilly_D_ApexMuffler	Killer Addon	Very Rare	Apex Muffler	
	KillerAddon_K03TheHillbilly_D_FilthySlippers	Killer Addon	Very Rare	Filthy Slippers	
	KillerAddon_K03TheHillbilly_D_LoProChains	Killer Addon	Very Rare	LoPro Chains	
	KillerAddon_K03TheHillbilly_D_SpikedBoots	Killer Addon	Very Rare	Spiked Boots	
	KillerAddon_K03TheHillbilly_E_IridescentEngravings	Killer Addon	Ultra Rare	Iridescent Engravings	
	KillerAddon_K03TheHillbilly_E_TunedCarburettor	Killer Addon	Ultra Rare	Tuned Carburettor	
	# K04 The Nurse				
	KillerAddon_K04TheNurse_A_MetalSpoon	Killer Addon	Common	Metal Spoon	
	KillerAddon_K04TheNurse_A_PlaidFlannel	Killer Addon	Common	Plaid Flannel	
	KillerAddon_K04TheNurse_A_WhiteNitComb	Killer Addon	Common	White Nit Comb	
	KillerAddon_K04TheNurse_A_WoodenHorse	Killer Addon	Common	Wooden Horse	
	KillerAddon_K04TheNurse_B_BadManKeepsake	Killer Addon	Uncommon	Bad Man Keepsake	
	KillerAddon_K04TheNurse_B_CatatonicBoysTreasure	Killer Addon	Uncommon	Catatonic Boy's Treasure	
	KillerAddon_K04TheNurse_B_DarkCincture	Killer Addon	Uncommon	Dark Cincture	
	KillerAddon_K04TheNurse_B_DullBracelet	Killer Addon	Uncommon	Dull Bracelet	
	KillerAddon_K04TheNurse_B_PocketWatch	Killer Addon	Uncommon	Pocket Watch	
	KillerAddon_K04TheNurse_C_AnxiousGasp	Killer Addon	Rare	Anxious Gasp	
	KillerAddon_K04TheNurse_C_AtaxicRespiration	Killer Addon	Rare	Ataxic Respiration	
	KillerAddon_K04TheNurse_C_FragileWheeze	Killer Addon	Rare	Fragile Wheeze	
	KillerAddon_K04TheNurse_C_HeavyPanting	Killer Addon	Rare	Heavy Panting	
	KillerAddon_K04TheNurse_C_Spasmodicbreath	Killer Addon	Rare	Spasmodic breath	
	KillerAddon_K04TheNurse_D_BadMansLastBreath	Killer Addon	Very Rare	"Bad Man's" Last Breath	
	KillerAddon_K04TheNurse_D_CampbellsLastBreath	Killer Addon	Very Rare	Campbell's Last Breath	
	KillerAddon_K04TheNurse_D_JennersLastBreath	Killer Addon	Very Rare	Jenner's Last Breath	
	KillerAddon_K04TheNurse_D_KavanaghsLastBreath	Killer Addon	Very Rare	Kavanagh's Last Breath	
	KillerAddon_K04TheNurse_E_Matchbox	Killer Addon	Ultra Rare	Matchbox	
	KillerAddon_K04TheNurse_E_TornBookmark	Killer Addon	Ultra Rare	Torn Bookmark	
	# K05 The Shape				
	KillerAddon_K05TheShape_A_BlondHair	Killer Addon	Common	Blond Hair	
	KillerAddon_K05TheShape_A_BoyfriendsMemo	Killer Addon	Common	Boyfriend's Memo	
	KillerAddon_K05TheShape_A_MemorialFlower	Killer Addon	Common	Memorial Flower	
	KillerAddon_K05TheShape_A_TackyEarrings	Killer Addon	Common	Tacky Earrings	
	KillerAddon_K05TheShape_B_DeadRabbit	Killer Addon	Uncommon	Dead Rabbit	
	KillerAddon_K05TheShape_B_GlassFragment	Killer Addon	Uncommon	Glass Fragment	
	KillerAddon_K05TheShape_B_HairBrush	Killer Addon	Uncommon	Hair Brush	
	KillerAddon_K05TheShape_B_Jewellery	Killer Addon	Uncommon	Jewellery	
	KillerAddon_K05TheShape_B_ReflectiveFragment	Killer Addon	Uncommon	Reflective Fragment	
	KillerAddon_K05TheShape_C_HairBow	Killer Addon	Rare	Hair Bow	
	KillerAddon_K05TheShape_C_JMyersMemorial	Killer Addon	Rare	J.Myers Memorial	
	KillerAddon_K05TheShape_C_JewelleryBox	Killer Addon	Rare	Jewellery Box	
	KillerAddon_K05TheShape_C_JudithsJournal	Killer Addon	Rare	Judith's Journal	
	KillerAddon_K05TheShape_C_MirrorShard	Killer Addon	Rare	Mirror Shard	
	KillerAddon_K05TheShape_D_LockofHair	Killer Addon	Very Rare	Lock of Hair	
	KillerAddon_K05TheShape_D_ScratchedMirror	Killer Addon	Very Rare	Scratched Mirror	
	KillerAddon_K05TheShape_D_TombstonePiece	Killer Addon	Very Rare	Tombstone Piece	
	KillerAddon_K05TheShape_D_VanityMirror	Killer Addon	Very Rare	Vanity Mirror	
	KillerAddon_K05TheShape_E_FragrantTuftofHair	Killer Addon	Ultra Rare	Fragrant Tuft of Hair	
	KillerAddon_K05TheShape_E_JudithsTombstone	Killer Addon	Ultra Rare	Judith's Tombstone	
	# K06 The Hag				
	KillerAddon_K06TheHag_A_BogWater	Killer Addon	Common	Bog Water	
	KillerAddon_K06TheHag_A_DeadFlyMud	Killer Addon	Common	Dead Fly Mud	
	KillerAddon_K06TheHag_A_PowderedEggshell	Killer Addon	Common	Powdered Eggshell	
	KillerAddon_K06TheHag_A_RopeNecklet	Killer Addon	Common	Rope Necklet	
	KillerAddon_K06TheHag_B_BloodiedWater	Killer Addon	Uncommon	Bloodied Water	
	KillerAddon_K06TheHag_B_CypressNecklet	Killer Addon	Uncommon	Cypress Necklet	
	KillerAddon_K06TheHag_B_DragonflyWings	Killer Addon	Uncommon	Dragonfly Wings	
	KillerAddon_K06TheHag_B_HalfEggshell	Killer Addon	Uncommon	Half Eggshell	
	KillerAddon_K06TheHag_B_PussyWillowCatkins	Killer Addon	Uncommon	Pussy Willow Catkins	
	KillerAddon_K06TheHag_C_BloodiedMud	Killer Addon	Rare	Bloodied Mud	
	KillerAddon_K06TheHag_C_CrackedTurtleEgg	Killer Addon	Rare	Cracked Turtle Egg	
	KillerAddon_K06TheHag_C_DriedCicada	Killer Addon	Rare	Dried Cicada	
	KillerAddon_K06TheHag_C_SwampOrchidNecklet	Killer Addon	Rare	Swamp Orchid Necklet	
	KillerAddon_K06TheHag_C_WillowWreath	Killer Addon	Rare	Willow Wreath	
	KillerAddon_K06TheHag_D_DisfiguredEar	Killer Addon	Very Rare	Disfigured Ear	
	KillerAddon_K06TheHag_D_GranmasHeart	Killer Addon	Very Rare	Granma's Heart	
	KillerAddon_K06TheHag_D_RustyShackles	Killer Addon	Very Rare	Rusty Shackles	
	KillerAddon_K06TheHag_D_ScarredHand	Killer Addon	Very Rare	Scarred Hand	
	KillerAddon_K06TheHag_E_MintRag	Killer Addon	Ultra Rare	Mint Rag	
	KillerAddon_K06TheHag_E_WaterloggedShoe	Killer Addon	Ultra Rare	Waterlogged Shoe	
	# K07 The Doctor				
	KillerAddon_K07TheDoctor_A_CalmClassI	Killer Addon	Common	"Calm" - Class I	
	KillerAddon_K07TheDoctor_A_OrderClassII	Killer Addon	Common	"Order" - Class II	
	KillerAddon_K07TheDoctor_A_MapleKnight	Killer Addon	Common	Maple Knight	
	KillerAddon_K07TheDoctor_A_MouldyElectrode	Killer Addon	Common	Mouldy Electrode	
	KillerAddon_K07TheDoctor_B_CalmClassII	Killer Addon	Uncommon	"Calm" - Class II	
	KillerAddon_K07TheDoctor_B_DisciplineClassII	Killer Addon	Uncommon	"Discipline" - Class II	
	KillerAddon_K07TheDoctor_B_OrderClassII	Killer Addon	Uncommon	"Order" - Class II	
	KillerAddon_K07TheDoctor_B_RestraintClassII	Killer Addon	Uncommon	"Restraint" - Class II	
	KillerAddon_K07TheDoctor_B_PolishedElectrode	Killer Addon	Uncommon	Polished Electrode	
	KillerAddon_K07TheDoctor_C_DisciplineClassIII	Killer Addon	Rare	"Discipline" - Class III	
	KillerAddon_K07TheDoctor_C_RestraintClassIII	Killer Addon	Rare	"Restraint" - Class III	
	KillerAddon_K07TheDoctor_C_HighStimulusElectrode	Killer Addon	Rare	High Stimulus Electrode	
	KillerAddon_K07TheDoctor_C_InterviewTape	Killer Addon	Rare	Interview Tape	
	KillerAddon_K07TheDoctor_C_ScrappedTape	Killer Addon	Rare	Scrapped Tape	
	KillerAddon_K07TheDoctor_D_CalmCartersNotes	Killer Addon	Very Rare	"Calm" - Carter's Notes	
	KillerAddon_K07TheDoctor_D_DisciplineCartersNotes	Killer Addon	Very Rare	"Discipline" - Carter's Notes	
	KillerAddon_K07TheDoctor_D_OrderCartersNotes	Killer Addon	Very Rare	"Order" - Carter's Notes	
	KillerAddon_K07TheDoctor_D_RestraintCartersNotes	Killer Addon	Very Rare	"Restraint" - Carter's Notes	
	KillerAddon_K07TheDoctor_E_IridescentKing	Killer Addon	Ultra Rare	Iridescent King	
	KillerAddon_K07TheDoctor_E_IridescentQueen	Killer Addon	Ultra Rare	Iridescent Queen	
	# K08 The Huntress				
	KillerAddon_K08TheHuntress_A_AmanitaToxin	Killer Addon	Common	Amanita Toxin	
	KillerAddon_K08TheHuntress_A_BandagedHaft	Killer Addon	Common	Bandaged Haft	
	KillerAddon_K08TheHuntress_A_CoarseStone	Killer Addon	Common	Coarse Stone	
	KillerAddon_K08TheHuntress_A_YellowedCloth	Killer Addon	Common	Yellowed Cloth	
	KillerAddon_K08TheHuntress_B_LeatherLoop	Killer Addon	Uncommon	Leather Loop	
	KillerAddon_K08TheHuntress_B_MannaGrassBraid	Killer Addon	Uncommon	Manna Grass Braid	
	KillerAddon_K08TheHuntress_B_OakHaft	Killer Addon	Uncommon	Oak Haft	
	KillerAddon_K08TheHuntress_B_ShinyPin	Killer Addon	Uncommon	Shiny Pin	
	KillerAddon_K08TheHuntress_B_WeightedHead	Killer Addon	Uncommon	Weighted Head	
	KillerAddon_K08TheHuntress_C_DeerskinGloves	Killer Addon	Rare	Deerskin Gloves	
	KillerAddon_K08TheHuntress_C_FlowerBabushka	Killer Addon	Rare	Flower Babushka	
	KillerAddon_K08TheHuntress_C_RoseRoot	Killer Addon	Rare	Rose Root	
	KillerAddon_K08TheHuntress_C_RustyHead	Killer Addon	Rare	Rusty Head	
	KillerAddon_K08TheHuntress_C_VenomousConcoction	Killer Addon	Rare	Venomous Concoction	
	KillerAddon_K08TheHuntress_D_BegrimedHead	Killer Addon	Very Rare	Begrimed Head	
	KillerAddon_K08TheHuntress_D_GlowingConcoction	Killer Addon	Very Rare	Glowing Concoction	
	KillerAddon_K08TheHuntress_D_InfantryBelt	Killer Addon	Very Rare	Infantry Belt	
	KillerAddon_K08TheHuntress_D_WoodenFox	Killer Addon	Very Rare	Wooden Fox	
	KillerAddon_K08TheHuntress_E_IridescentHead	Killer Addon	Ultra Rare	Iridescent Head	
	KillerAddon_K08TheHuntress_E_SoldiersPuttee	Killer Addon	Ultra Rare	Soldier's Puttee	
	# K09 The Cannibal				
	KillerAddon_K09TheCannibal_A_ChainsawFile	Killer Addon	Common	Chainsaw File	
	KillerAddon_K09TheCannibal_A_SparkPlug	Killer Addon	Common	Spark Plug	
	KillerAddon_K09TheCannibal_A_SpeedLimiter	Killer Addon	Common	Speed Limiter	
	KillerAddon_K09TheCannibal_A_VegetableOil	Killer Addon	Common	Vegetable Oil	
	KillerAddon_K09TheCannibal_B_Chilli	Killer Addon	Uncommon	Chilli	
	KillerAddon_K09TheCannibal_B_HomemadeMuffler	Killer Addon	Uncommon	Homemade Muffler	
	KillerAddon_K09TheCannibal_B_KnifeScratches	Killer Addon	Uncommon	Knife Scratches	
	KillerAddon_K09TheCannibal_B_LongGuideBar	Killer Addon	Uncommon	Long Guide Bar	
	KillerAddon_K09TheCannibal_B_PrimerBulb	Killer Addon	Uncommon	Primer Bulb	
	KillerAddon_K09TheCannibal_C_BegrimedChains	Killer Addon	Rare	Begrimed Chains	
	KillerAddon_K09TheCannibal_C_GrislyChains	Killer Addon	Rare	Grisly Chains	
	KillerAddon_K09TheCannibal_C_ShopLubricant	Killer Addon	Rare	Shop Lubricant	
	KillerAddon_K09TheCannibal_C_TheBeastsMarks	Killer Addon	Rare	The Beast's Marks	
	KillerAddon_K09TheCannibal_C_TheGrease	Killer Addon	Rare	The Grease	
	KillerAddon_K09TheCannibal_D_Award-WinningChilli	Killer Addon	Very Rare	Award-Winning Chilli	
	KillerAddon_K09TheCannibal_D_DepthGaugeRake	Killer Addon	Very Rare	Depth Gauge Rake	
	KillerAddon_K09TheCannibal_D_LightChassis	Killer Addon	Very Rare	Light Chassis	
	KillerAddon_K09TheCannibal_D_RustedChains	Killer Addon	Very Rare	Rusted Chains	
	KillerAddon_K09TheCannibal_E_CarburettorTuningGuide	Killer Addon	Ultra Rare	Carburettor Tuning Guide	
	KillerAddon_K09TheCannibal_E_IridescentFlesh	Killer Addon	Ultra Rare	Iridescent Flesh	
	# K10 The Nightmare				
	KillerAddon_K10TheNightmare_A_GardenRake	Killer Addon	Common	Garden Rake	
	KillerAddon_K10TheNightmare_A_KidsDrawing	Killer Addon	Common	Kid's Drawing	
	KillerAddon_K10TheNightmare_A_SheepBlock	Killer Addon	Common	Sheep Block	
	KillerAddon_K10TheNightmare_A_WoolShirt	Killer Addon	Common	Wool Shirt	
	KillerAddon_K10TheNightmare_B_CatBlock	Killer Addon	Uncommon	Cat Block	
	KillerAddon_K10TheNightmare_B_GreenDress	Killer Addon	Uncommon	Green Dress	
	KillerAddon_K10TheNightmare_B_NancysSketch	Killer Addon	Uncommon	Nancy's Sketch	
	KillerAddon_K10TheNightmare_B_OutdoorRope	Killer Addon	Uncommon	Outdoor Rope	
	KillerAddon_K10TheNightmare_B_PrototypeClaws	Killer Addon	Uncommon	Prototype Claws	
	KillerAddon_K10TheNightmare_C_BlueDress	Killer Addon	Rare	Blue Dress	
